generator_id,a_i,b_i,pmin,pmax
231,24.87,0.02162,30.5,108.53
232,17.57,0.01548,23.22,166.17
233,19.42,0.02253,44.42,232.01999999999998
234,17.31,0.01527,28.95,148.51
235,9.88,0.01762,41.98,107.50999999999999
236,23.06,0.00518,33.22,151.89
237,12.02,0.02229,40.92,147.29000000000002
238,5.61,0.02153,23.31,159.96
239,21.14,0.00596,43.26,159.06
240,9.43,0.01421,20.98,73.58
241,28.51,0.02948,31.84,230.94
242,28.85,0.01552,18.56,150.09
243,27.87,0.01755,29.02,150.06
244,14.25,0.02775,22.73,215.92
245,5.39,0.02293,20.67,94.05
246,28.21,0.01955,48.68,127.07
247,15.7,0.02495,16.4,187.6
248,29.17,0.02661,41.49,130.61
249,29.09,0.01642,49.37,219.25
250,26.33,0.01688,10.8,101.53
251,12.36,0.01465,37.96,92.94
252,14.63,0.02917,20.12,147.67
253,26.28,0.02243,11.62,91.12
254,12.92,0.00708,26.12,189.8
255,9.24,0.02657,47.41,193.59
256,18.92,0.01701,10.47,199.01
257,28.4,0.00672,33.52,200.97
258,22.4,0.01874,30.06,107.18
259,19.25,0.01543,44.94,214.96
260,7.43,0.02694,13.36,159.62
261,20.38,0.0101,37.26,187.6
262,29.75,0.02566,37.2,212.04000000000002
263,8.5,0.01894,36.76,172.82999999999998
264,17.96,0.00637,47.69,167.59
265,26.93,0.0293,42.92,188.42000000000002
266,23.52,0.01782,11.68,106.37
267,22.43,0.01227,28.84,106.23
268,22.56,0.01674,25.92,168.41000000000003
269,13.99,0.02645,22.41,107.49
270,12.34,0.01262,28.05,90.04
271,25.23,0.00982,25.37,75.45
272,25.25,0.00823,27.29,168.54
273,26.68,0.01245,49.17,153.49
274,27.83,0.0245,13.55,176.4
275,17.78,0.01679,46.89,153.17000000000002
276,17.54,0.01069,29.21,152.11
277,24.96,0.00915,34.95,146.01
278,21.25,0.01332,43.21,190.8
279,22.55,0.0285,24.42,127.84
280,24.89,0.01358,27.22,221.79
281,27.25,0.0297,26.38,216.79999999999998
282,13.45,0.01713,24.99,202.19
283,14.39,0.00948,47.02,235.07000000000002
284,7.35,0.02728,43.16,160.53
285,19.46,0.01651,14.36,144.82
286,5.9,0.02274,14.32,175.63
287,16.64,0.02959,27.11,181.52999999999997
288,18.57,0.00625,13.95,197.54999999999998
289,12.16,0.00742,34.76,192.20999999999998
290,19.77,0.02301,15.75,215.43
291,5.76,0.01205,30.89,133.17000000000002
292,5.93,0.00961,10.29,185.23999999999998
293,25.57,0.00598,22.66,177.31
294,14.0,0.00555,37.09,190.8
295,8.18,0.02436,29.36,128.24
296,18.06,0.00836,49.13,216.97
297,24.25,0.01669,44.96,230.02
298,10.4,0.02015,24.36,107.14
299,20.57,0.01571,11.82,155.64
300,7.13,0.00568,43.83,152.64999999999998
301,6.29,0.02459,46.45,244.88
302,18.28,0.00526,42.83,164.64999999999998
303,18.52,0.02405,15.12,99.37
304,20.94,0.02733,49.92,157.2
305,23.15,0.01582,20.34,168.42000000000002
306,29.4,0.01839,38.97,100.38
307,17.91,0.01692,46.32,186.85999999999999
308,13.07,0.01473,19.43,209.11
309,24.88,0.02719,46.33,223.88
310,11.77,0.02735,22.38,82.53
311,15.97,0.0134,49.06,248.07
312,6.96,0.02038,21.25,176.06
313,5.63,0.02817,48.14,122.48
314,29.07,0.02905,12.14,64.0
315,25.9,0.01772,38.37,114.06
316,22.4,0.01632,31.28,207.01
317,15.22,0.01197,29.12,82.37
318,9.33,0.02897,18.94,103.91
319,8.91,0.00857,38.22,201.82
320,11.26,0.0195,17.63,155.54999999999998
321,18.73,0.01206,32.11,199.51999999999998
322,22.86,0.01198,20.13,182.04999999999998
323,21.5,0.01512,48.22,105.81
324,12.0,0.02997,11.15,195.03
325,28.87,0.00637,17.99,102.03999999999999
326,23.45,0.01946,19.69,152.7
327,18.86,0.00706,26.56,173.2
328,20.29,0.00886,19.31,94.60000000000001
329,15.49,0.01599,29.65,226.08
330,11.19,0.01776,44.9,168.12
331,13.9,0.01147,38.48,97.13
332,23.95,0.01291,33.2,223.79000000000002
333,5.36,0.00717,13.56,151.5
334,7.9,0.01258,37.76,192.64
335,6.15,0.02916,16.66,145.44
336,6.02,0.02862,41.45,216.66000000000003
337,26.39,0.01337,20.0,74.97
338,22.59,0.01927,26.68,116.94
339,16.85,0.02774,24.02,144.47
340,7.45,0.00515,44.35,105.84
341,17.29,0.02527,15.06,170.95
342,16.84,0.02871,32.63,141.68
343,9.33,0.00728,15.68,106.58000000000001
344,15.85,0.00904,38.19,88.69999999999999
345,14.96,0.02902,46.2,204.17000000000002
346,20.4,0.01844,27.38,202.45
347,20.88,0.00535,29.52,138.78
348,6.13,0.01144,47.1,181.73
349,14.37,0.01625,30.84,114.99000000000001
350,20.65,0.02232,29.5,172.83
351,17.58,0.02333,33.13,84.95
352,26.41,0.02989,37.57,160.87
353,21.47,0.01219,14.28,160.91
354,9.07,0.01846,42.84,230.57
355,6.76,0.01833,27.42,134.62
356,21.06,0.01514,12.89,177.67000000000002
357,5.66,0.00923,41.45,181.10000000000002
358,19.64,0.02944,25.08,214.13
359,28.51,0.02633,14.01,123.77000000000001
360,19.39,0.01746,35.35,133.21
361,14.7,0.02008,45.21,228.28
362,21.08,0.01068,45.51,102.9
363,16.46,0.01859,48.31,118.77
364,18.64,0.02237,44.71,107.07
365,28.54,0.01788,10.09,186.56
366,14.65,0.02976,25.21,76.80000000000001
367,29.03,0.02028,42.74,221.99
368,27.63,0.01427,24.65,142.34
369,9.89,0.0243,34.06,84.66
370,6.73,0.00926,34.25,144.5
371,7.52,0.01461,24.6,102.62
372,5.46,0.01367,46.18,189.84
373,7.36,0.0158,30.13,182.03
374,22.08,0.02454,28.59,151.72
375,6.78,0.0171,49.9,105.97999999999999
376,12.97,0.02485,29.74,178.16
377,26.12,0.01941,17.14,193.45
378,5.58,0.01355,30.52,188.57000000000002
379,25.36,0.02525,42.56,217.05
380,12.05,0.01096,41.07,121.15
381,7.95,0.01061,41.54,224.87
382,22.42,0.01761,38.32,136.65
383,20.72,0.01152,20.17,72.18
384,26.94,0.00523,44.48,220.98999999999998
385,23.38,0.02121,45.74,237.01000000000002
386,25.09,0.01778,17.77,166.10000000000002
387,12.05,0.01614,15.22,99.94
388,9.44,0.02917,49.02,136.78
389,23.77,0.01928,44.73,164.72
390,25.17,0.02659,45.73,230.39999999999998
391,29.76,0.00849,45.46,117.9
392,15.32,0.01923,31.67,205.57
393,14.3,0.0267,35.86,129.56
394,24.41,0.01958,31.81,203.1
395,13.52,0.02295,12.05,200.09
396,28.27,0.0143,39.82,153.94
397,26.46,0.00731,30.21,134.97
398,15.72,0.01645,35.91,206.24
399,23.77,0.01486,30.11,159.52999999999997
400,23.86,0.02668,29.67,182.33999999999997
401,7.58,0.0111,16.87,160.29
402,27.56,0.02917,21.15,94.08000000000001
403,17.63,0.02895,16.35,193.07
404,25.66,0.01119,17.83,97.2
405,13.0,0.0137,48.92,238.76
406,27.39,0.02739,16.12,103.71000000000001
407,14.73,0.02917,20.77,180.85000000000002
408,5.27,0.01609,33.62,126.32
409,27.63,0.01302,34.41,132.07999999999998
410,7.28,0.01815,16.16,112.66
411,12.98,0.02219,41.75,203.93
412,28.75,0.01184,41.41,174.93
413,28.77,0.02341,19.49,201.93
414,19.34,0.00629,21.55,117.66
415,20.8,0.00623,47.52,201.32000000000002
416,16.21,0.01466,43.03,205.97
417,12.33,0.01384,37.91,110.63
418,13.22,0.01289,13.29,123.38
419,21.81,0.01728,26.73,149.15
420,23.81,0.01302,32.37,135.72
421,24.79,0.00981,17.5,115.82
422,24.74,0.01274,27.93,180.89000000000001
423,7.28,0.02937,34.04,116.41999999999999
424,17.36,0.01528,23.1,179.51
425,6.44,0.01612,41.24,231.5
426,18.74,0.01941,43.62,178.4
427,16.04,0.02958,22.94,164.66
428,27.19,0.01104,43.55,103.89
429,13.77,0.02203,14.14,193.81
430,7.93,0.0229,43.51,136.32999999999998
431,8.57,0.02018,16.11,158.37
432,24.04,0.00721,13.32,210.19
433,20.46,0.02192,35.67,175.0
434,7.53,0.0066,28.88,187.59
435,7.1,0.0199,46.32,163.12
436,22.52,0.02349,24.53,83.58
437,6.82,0.01027,21.49,191.13
438,25.55,0.02604,30.03,85.28
439,22.66,0.00576,28.24,183.34
440,7.03,0.0261,23.78,77.22
441,7.12,0.01651,37.75,217.1
442,29.67,0.01044,40.38,114.03
443,14.36,0.00834,44.12,171.26
444,14.27,0.02883,48.91,188.48
445,25.32,0.00682,20.67,139.3
446,28.68,0.00998,38.64,139.75
447,29.65,0.0137,25.77,145.94
448,23.83,0.02051,37.08,133.79
449,14.41,0.01862,29.04,144.76
450,7.09,0.00814,49.75,153.59
451,24.43,0.01224,39.16,174.09
452,18.96,0.01097,48.1,133.79
453,15.61,0.01034,43.4,241.70000000000002
454,27.66,0.01528,46.12,171.25
455,7.78,0.0226,42.58,121.7
456,17.32,0.01044,28.37,149.93
457,5.28,0.01417,20.07,200.03
458,16.72,0.01477,24.81,78.08
459,6.41,0.02941,10.81,162.74
460,7.97,0.02887,30.96,163.16
461,7.94,0.025,30.2,105.63000000000001
462,21.23,0.01104,31.01,203.63
463,23.65,0.0067,48.96,154.29
464,19.58,0.01292,46.46,140.53
465,29.05,0.01167,16.47,190.69
466,14.37,0.01765,24.76,170.54
467,12.14,0.02444,26.96,211.70000000000002
468,26.71,0.02646,24.42,168.89999999999998
469,10.59,0.02612,41.94,203.06
470,29.08,0.01399,30.96,206.43
471,5.3,0.02218,32.88,91.09
472,29.25,0.01282,44.12,210.53
473,6.08,0.00652,42.24,184.3
474,27.28,0.02254,15.29,75.72
475,18.19,0.00525,38.56,164.85000000000002
476,29.82,0.01523,27.42,89.78999999999999
477,6.84,0.01323,21.79,182.17999999999998
478,18.85,0.02233,12.0,143.98
479,29.23,0.02416,29.49,222.53
480,18.08,0.0126,24.22,101.69
481,20.73,0.02529,20.06,160.97
482,22.39,0.01235,37.79,119.53
483,16.36,0.01616,40.78,182.89000000000001
484,20.69,0.02318,19.79,178.19
485,19.61,0.02232,11.98,170.32999999999998
486,27.53,0.02968,43.95,216.20999999999998
487,6.14,0.01063,10.4,188.43
488,12.02,0.02156,47.48,109.07
489,28.76,0.02024,35.1,136.59
490,27.26,0.02788,22.87,175.94
491,16.39,0.00891,19.86,144.65
492,20.5,0.02379,10.36,88.96
493,11.93,0.01921,19.42,152.32999999999998
494,9.7,0.01187,15.51,126.63000000000001
495,16.59,0.01686,34.49,143.0
496,13.83,0.01334,16.66,188.12
497,19.59,0.01948,31.15,142.29
498,6.94,0.02723,33.6,87.57
499,29.36,0.01923,21.92,80.63
500,29.66,0.02079,11.4,189.84
501,22.45,0.01797,11.49,205.58
502,18.4,0.00628,11.05,164.31
503,12.74,0.01082,39.56,144.22
504,25.34,0.0173,22.72,213.51
505,22.12,0.01276,41.85,191.26999999999998
506,9.07,0.00954,27.27,203.92000000000002
507,27.77,0.0176,28.12,193.0
508,25.56,0.01307,30.52,137.39000000000001
509,28.74,0.01145,38.52,160.33
510,23.14,0.0166,20.94,98.86
511,20.34,0.00833,14.86,108.66
512,15.46,0.02819,32.24,198.96
513,28.32,0.02669,23.08,207.18
514,26.65,0.02269,27.7,186.36999999999998
515,6.13,0.00766,35.88,155.66
516,5.66,0.0244,29.77,92.75
517,14.41,0.0252,34.81,93.35
518,25.26,0.02419,31.77,137.92000000000002
519,29.68,0.00785,39.59,159.16
520,8.76,0.0211,38.24,179.61
521,19.85,0.02586,31.37,82.34
522,14.52,0.01943,37.16,235.62
523,29.25,0.02116,44.94,149.53
524,26.05,0.01646,27.29,204.5
525,25.96,0.01822,26.51,156.76
526,16.72,0.00586,40.57,110.13999999999999
527,15.37,0.02097,33.3,202.93
528,11.84,0.00704,12.84,169.31
529,6.41,0.01588,45.68,174.8
530,26.62,0.01232,11.23,138.41
531,25.32,0.01864,39.94,103.06
532,29.99,0.00834,40.35,188.73
533,29.92,0.02229,48.12,234.81
534,18.89,0.02488,12.17,76.16
535,24.22,0.00908,33.87,123.4
536,28.62,0.00761,27.11,212.45999999999998
537,26.24,0.00864,23.23,115.88000000000001
538,11.18,0.02693,13.61,161.7
539,16.26,0.0182,32.51,162.73
540,8.23,0.01668,29.16,168.60999999999999
541,28.85,0.00767,14.18,126.55000000000001
542,20.15,0.02124,34.5,129.5
543,10.72,0.0267,39.52,96.80000000000001
544,21.79,0.0257,40.69,202.32999999999998
545,20.45,0.02065,46.21,208.12
546,13.95,0.00688,26.38,176.99
547,7.84,0.00781,48.12,194.67000000000002
548,21.79,0.00623,44.62,131.18
549,18.01,0.01144,21.86,75.21000000000001
550,24.31,0.00839,16.37,187.68
551,18.0,0.0115,27.42,151.09
552,26.3,0.01463,26.08,122.11
553,18.8,0.02857,33.03,98.32000000000001
554,19.02,0.02026,33.34,92.75
555,26.92,0.02587,40.0,142.32999999999998
556,15.09,0.02276,30.4,201.11
557,8.35,0.00781,14.19,202.0
558,5.72,0.0234,44.33,228.83999999999997
559,23.88,0.01188,22.39,210.39
560,20.51,0.02098,48.85,235.01
561,22.6,0.01352,14.71,143.79000000000002
562,10.32,0.02994,48.33,131.24
563,8.41,0.01159,13.64,183.35000000000002
564,5.36,0.01198,19.24,101.3
565,13.76,0.02827,11.86,101.94
566,19.75,0.00562,38.2,123.19
567,14.81,0.02242,44.01,171.26
568,15.94,0.02313,27.36,125.63
569,27.6,0.02591,47.14,120.26
570,13.71,0.02936,33.61,151.59
571,17.85,0.02939,35.2,216.29000000000002
572,24.59,0.00663,43.82,179.4
573,14.91,0.02555,21.87,203.62
574,20.55,0.02116,24.17,103.55
575,26.56,0.02118,46.24,121.28999999999999
576,28.74,0.00821,46.04,182.38
577,8.68,0.02125,49.06,168.56
578,28.16,0.02956,46.07,195.1
579,17.3,0.0278,15.09,184.28
580,11.46,0.01598,42.95,205.64999999999998
581,16.48,0.006,26.39,217.73000000000002
582,29.5,0.01406,49.63,159.37
583,17.32,0.02566,28.89,109.85
584,13.22,0.02254,32.15,164.79
585,20.84,0.01648,31.19,97.8
586,11.0,0.00638,22.87,116.2
587,6.9,0.01567,13.0,94.18
588,8.22,0.01673,45.83,155.31
589,8.2,0.02821,42.11,108.79
590,8.8,0.02103,15.58,70.36
591,8.47,0.01279,41.07,189.59
592,21.02,0.01813,35.03,176.57
593,9.55,0.00665,26.37,182.62
594,13.64,0.02931,20.16,169.22
595,27.42,0.014,44.39,111.53
596,16.85,0.01695,38.01,131.67
597,21.69,0.01388,31.91,101.34
598,9.31,0.02206,34.38,210.82999999999998
599,9.81,0.02156,13.64,175.68
600,6.02,0.02288,28.96,109.19
601,9.22,0.0117,17.75,118.95
602,11.96,0.01289,18.34,213.33
603,9.43,0.00813,36.45,175.57
604,7.22,0.02139,46.45,216.62
605,8.02,0.00599,26.15,115.84
606,16.52,0.01994,18.31,99.82000000000001
607,10.16,0.02674,35.95,203.54000000000002
608,14.11,0.02727,44.85,197.73
609,17.59,0.01623,39.93,192.08
610,22.26,0.01648,44.75,177.65
611,5.98,0.00692,31.46,166.0
612,24.99,0.02177,40.08,200.43
613,20.7,0.02553,15.6,106.1
614,7.04,0.01112,23.93,126.85
615,26.84,0.01553,25.58,206.32999999999998
616,28.02,0.02597,30.45,126.78
617,6.53,0.02693,47.16,179.10999999999999
618,11.92,0.01108,44.97,200.37
619,25.16,0.01876,15.38,215.37
620,23.71,0.00981,16.91,132.20000000000002
621,9.61,0.00755,24.31,138.51999999999998
622,10.23,0.02778,21.63,198.01999999999998
623,14.26,0.02551,34.59,205.42000000000002
624,17.11,0.024,46.11,205.76999999999998
625,20.46,0.00622,48.49,167.97
626,14.22,0.02609,36.14,134.73000000000002
627,16.56,0.01595,43.53,184.84
628,23.69,0.01356,31.01,212.44
629,5.92,0.01866,18.33,200.89999999999998
630,11.31,0.00728,30.99,97.25999999999999
631,22.83,0.02392,32.2,146.45
632,27.38,0.01956,39.7,159.41
633,17.79,0.00966,18.8,215.44
634,18.3,0.00971,24.73,176.42999999999998
635,7.68,0.00961,24.56,135.65
636,16.19,0.00643,48.38,102.28999999999999
637,18.32,0.01969,27.76,162.57
638,11.06,0.02601,40.2,104.61
639,11.73,0.00544,40.03,215.2
640,14.43,0.00623,20.62,183.5
641,5.5,0.01932,32.87,151.95
642,13.05,0.02549,45.77,160.15
643,10.29,0.01317,29.01,213.60999999999999
644,13.19,0.01374,47.8,141.07
645,7.99,0.01991,18.58,105.92999999999999
646,27.26,0.01186,12.97,203.85
647,19.84,0.00567,45.66,217.04999999999998
648,21.98,0.02338,43.91,217.0
649,24.73,0.02064,49.7,128.98000000000002
650,17.46,0.01952,37.18,108.66999999999999
651,7.17,0.02354,47.47,101.37
652,18.43,0.02188,43.08,128.64
653,19.67,0.01015,43.78,209.91
654,23.64,0.01381,32.77,118.78
655,15.79,0.00815,25.29,184.66
656,8.19,0.00825,47.38,135.17000000000002
657,12.09,0.0219,27.28,136.57
658,14.08,0.02647,31.55,229.02
659,21.15,0.02907,27.84,114.56
660,19.27,0.02071,32.59,139.05
661,13.9,0.0096,28.82,123.97999999999999
662,29.66,0.00764,11.92,78.36
663,20.14,0.02532,45.28,168.76
664,10.93,0.01947,27.78,134.57999999999998
665,7.54,0.02046,33.56,187.79
666,8.82,0.02454,15.57,188.20999999999998
667,11.15,0.02258,10.14,141.77999999999997
668,9.02,0.02586,19.81,74.64
669,9.66,0.00641,38.18,181.02
670,12.13,0.02369,13.97,72.28
671,9.33,0.02627,46.36,188.81
672,27.42,0.01215,18.6,171.35
673,7.01,0.02101,18.18,97.85
674,18.11,0.01285,17.26,190.16
675,15.26,0.02895,10.56,197.22
676,29.56,0.00584,40.87,212.83
677,7.8,0.01949,45.0,140.76999999999998
678,14.95,0.00916,34.57,172.57
679,29.24,0.02281,17.53,204.75
680,26.64,0.0094,21.41,119.50999999999999
681,25.43,0.01088,29.04,202.04
682,11.45,0.01736,48.17,99.59
683,9.27,0.02787,19.89,70.44
684,21.72,0.01029,39.27,203.23000000000002
685,28.23,0.00861,27.58,191.8
686,18.92,0.02397,21.91,190.26
687,19.29,0.01752,28.24,217.74
688,12.0,0.02779,12.85,80.53999999999999
689,24.24,0.00867,41.95,126.75
690,9.68,0.02115,19.73,205.29
691,13.09,0.01082,39.02,115.61000000000001
692,15.64,0.00892,12.73,165.06
693,17.69,0.02209,48.2,177.76999999999998
694,11.06,0.01984,17.72,80.19999999999999
695,7.87,0.02387,45.31,138.10000000000002
696,20.27,0.01274,42.38,170.44
697,12.22,0.0162,48.71,226.56
698,19.53,0.01514,29.12,185.25
699,8.86,0.0296,39.1,182.38
